id;nome;descricao;avaliacao;tipos_pontos_turisticos
1;networks;fresh-thinking Assurance Borders;secured;Metal
2;success Vatu Dynamic;1080p invoice York;Executive collaboration;dot-com indexing
3;Lane drive;global;CFP Venezuela Liaison;Vermont Account
4;Garden;red;Chips 1080p Adaptive;People's
5;Card Interactions Applications;Jewelery Intelligent Lane;Savings high-level contextually-based;AI
6;programming;navigating CSS;software;haptic
7;Ford;hack monitor;Wooden Buckinghamshire incentivize;Account
8;Mouse;Computer Senior;policy;sensor
9;Curve primary Representative;Steel;grey Assistant deposit;Yemen drive
10;Avenue;utilize;functionalities moderator Bahrain;e-business Unbranded
