id;nome;descricao;avaliacao;tipos_pontos_venda
1;paradigms;Chair Tasty;83351;Stravenue
2;visualize Salad state;quantifying;81007;Kids back-end
3;Concrete;programming collaborative responsive;97792;Future collaboration
4;mobile;Architect matrix;17746;neural Montana Savings
5;metrics Gorgeous;New;53384;SAS Steel
6;platforms;Quality;8667;Maryland 1080p
7;foreground;Vatu IB;99054;core
8;synthesize Granite New;Small Granite;67749;Unbranded lavender
9;overriding;connecting Intranet Account;95495;array
10;indexing Associate;challenge array Bacon;72026;Islands communities withdrawal
