id;nome_trilha;nome_municipio;descricao;comprimento;data
1;Soap grow Massachusetts;input;Belarus generate;47439;2022-02-02
2;Borders transmitter calculating;Avon payment Krone;TCP dedicated white;5333;2022-02-02
3;up Serbia RSS;Handmade Streamlined Rubber;invoice Jan executive;93060;2022-02-02
4;Wooden interface Toys;cross-platform Associate infomediaries;compressing Zimbabwe Bedfordshire;98608;2022-02-02
5;Applications;connecting Applications deposit;Ball transmitter virtual;86578;2022-02-02
6;Idaho indigo;View Metal function;magenta firewall Dynamic;3586;2022-02-02
7;programming;Granite invoice;optimal red;43446;2022-02-02
8;Analyst didactic monitoring;Multi-channelled Toys Tennessee;Borders;3707;2022-02-02
9;Legacy;haptic Arizona;Gambia relationships;26269;2022-02-02
10;Directives;evolve;Configuration Fantastic;61618;2022-02-02
