id;nome;descricao;comprimento;avaliacao
1;Concrete encompassing;Texas;47093;gold
2;SMTP;Awesome Berkshire Kyat;29106;Account
3;e-enable;synergy;78475;invoice SQL
4;Granite;Salad;68399;Realigned Iowa
5;Kansas Industrial;silver Sleek;19789;Car
6;silver Loan;Account;30212;Philippine Hat background
7;applications Cotton hacking;seamless Berkshire quantifying;21845;compressing
8;Liaison Guam Planner;array Coordinator;11543;violet
9;plum Road;Borders;71741;SQL port Dollar
10;pixel Interactions;withdrawal Avon Account;88320;User-friendly
